Code,Long,Lat,Flag
,130.975,33.8833333333333,0
,130.9625,33.8833333333333,0
,130.9625,33.875,0
50306758,130.975,33.875,1
,130.9875,33.875,0
,130.9875,33.8833333333333,0
,130.975,33.8833333333333,0
,130.975,33.875,0
50306759,130.9875,33.875,1
,131,33.875,0
,131,33.8833333333333,0
,130.9875,33.8833333333333,0
,130.9875,33.875,0
50306763,130.9125,33.8833333333333,1
,130.925,33.8833333333333,0
,130.925,33.8916666666667,0
,130.9125,33.8916666666667,0
,130.9125,33.8833333333333,0
50306764,130.925,33.8833333333333,1
,130.9375,33.8833333333333,0
,130.9375,33.8916666666667,0
,130.925,33.8916666666667,0
,130.925,33.8833333333333,0
50306765,130.9375,33.8833333333333,1
,130.95,33.8833333333333,0
,130.95,33.8916666666667,0
,130.9375,33.8916666666667,0
,130.9375,33.8833333333333,0
50306766,130.95,33.8833333333333,1
,130.9625,33.8833333333333,0
,130.9625,33.8916666666667,0
,130.95,33.8916666666667,0
,130.95,33.8833333333333,0
50306767,130.9625,33.8833333333333,1
,130.975,33.8833333333333,0
,130.975,33.8916666666667,0
,130.9625,33.8916666666667,0
,130.9625,33.8833333333333,0
50306768,130.975,33.8833333333333,1
,130.9875,33.8833333333333,0
,130.9875,33.8916666666667,0
,130.975,33.8916666666667,0
,130.975,33.8833333333333,0
50306769,130.9875,33.8833333333333,1
,131,33.8833333333333,0
,131,33.8916666666667,0
,130.9875,33.8916666666667,0
,130.9875,33.8833333333333,0
50306773,130.9125,33.8916666666667,1
,130.925,33.8916666666667,0
,130.925,33.9,0
,130.9125,33.9,0
,130.9125,33.8916666666667,0
50306774,130.925,33.8916666666667,1
,130.9375,33.8916666666667,0
,130.9375,33.9,0
,130.925,33.9,0
,130.925,33.8916666666667,0
50306775,130.9375,33.8916666666667,1
,130.95,33.8916666666667,0
,130.95,33.9,0
,130.9375,33.9,0
,130.9375,33.8916666666667,0
50306776,130.95,33.8916666666667,1
,130.9625,33.8916666666667,0
,130.9625,33.9,0
,130.95,33.9,0
,130.95,33.8916666666667,0
50306777,130.9625,33.8916666666667,1
,130.975,33.8916666666667,0
,130.975,33.9,0
,130.9625,33.9,0
,130.9625,33.8916666666667,0
50306778,130.975,33.8916666666667,1
,130.9875,33.8916666666667,0
,130.9875,33.9,0
,130.975,33.9,0
,130.975,33.8916666666667,0
50306779,130.9875,33.8916666666667,1
,131,33.8916666666667,0
,131,33.9,0
,130.9875,33.9,0
,130.9875,33.8916666666667,0
50306783,130.9125,33.9,1
,130.925,33.9,0
,130.925,33.9083333333333,0
,130.9125,33.9083333333333,0
,130.9125,33.9,0
50306784,130.925,33.9,1
,130.9375,33.9,0
,130.9375,33.9083333333333,0
,130.925,33.9083333333333,0
,130.925,33.9,0
50306785,130.9375,33.9,1
,130.95,33.9,0
,130.95,33.9083333333333,0
,130.9375,33.9083333333333,0
,130.9375,33.9,0
50306786,130.95,33.9,1
,130.9625,33.9,0
,130.9625,33.9083333333333,0
,130.95,33.9083333333333,0
,130.95,33.9,0
50306787,130.9625,33.9,1
,130.975,33.9,0
,130.975,33.9083333333333,0
,130.9625,33.9083333333333,0
,130.9625,33.9,0
50306788,130.975,33.9,1
,130.9875,33.9,0
,130.9875,33.9083333333333,0
,130.975,33.9083333333333,0
,130.975,33.9,0
50306789,130.9875,33.9,1
,131,33.9,0
,131,33.9083333333333,0
,130.9875,33.9083333333333,0
,130.9875,33.9,0
50306794,130.925,33.9083333333333,1
,130.9375,33.9083333333333,0
,130.9375,33.9166666666667,0
,130.925,33.9166666666667,0
,130.925,33.9083333333333,0
50306795,130.9375,33.9083333333333,1
,130.95,33.9083333333333,0
,130.95,33.9166666666667,0
,130.9375,33.9166666666667,0
,130.9375,33.9083333333333,0
50306796,130.95,33.9083333333333,1
,130.9625,33.9083333333333,0
,130.9625,33.9166666666667,0
,130.95,33.9166666666667,0
,130.95,33.9083333333333,0
50306797,130.9625,33.9083333333333,1
,130.975,33.9083333333333,0
,130.975,33.9166666666667,0
